smiles,logs
CCCCCCCCCCCCCCCCCC[N+](C)(C)C,-3.616127121
O=C1Nc2cccc3cccc1c23,-3.254767098
O=Cc1ccc(Cl)cc1,-2.177077944
CC(c1ccccc1)c1cc(C(=O)[O-])c(O)c(C(C)c2ccccc2)c1,-3.924409095
c1cc(N(CC2CO2)CC2CO2)ccc1Cc1ccc(N(CC2CO2)CC2CO2)cc1,-4.662064583
C=Cc1cccc(C)c1,-3.123150304
CCC1CCC(CCC(=O)[O-])C1,-3.286116314
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CC(O)C2(O)C(=O)CO,-2.664548539
O=C(c1ccc(F)cc1)c1ccc(F)cc1,-4.396652185
O=C(OCCCOCCCOC(=O)c1ccccc1)c1ccccc1,-4.595502564
CN(C)c1ccc(C=O)cc1,-2.28276885
CC(=O)OC(C)(C)Cc1ccccc1,-2.394649969
Cc1ccc(O)c(C)c1,-1.980309796
CC(C)(C)c1ccc(OCC2CO2)cc1,-3.43023888
COCCCCC(=O)c1ccc(C(F)(F)F)cc1,-3.544059701
CC(C)=CCCC(C)=CCO,-2.320601166
Cc1cc(Cl)ccc1OC(C)C(=O)[O-],-2.466030786
CCCCC(CC)COP(=S)([S-])OCC(C)C,-2.958195047
FC(F)(F)c1cccc(Cl)c1,-3.411513885
CCC(C)(CCC(C)C)C(=O)OCC1CO1,-3.513468741
CC(C)CCCCCOC(=O)CCS,-4.4543817
CC1=CCC(=C(C)C)CC1,-4.287342935
O=[Si]([O-])O,-3.473139052
C=C(C)C(=O)[O-],-2.363208098
CC[NH2+]CC(O)c1cccc(O)c1,-3.45410264
CCC(C)OP(=S)([S-])OC(C)CC(C)C,-2.990876868
ClCc1ccc(Cl)cc1Cl,-3.512942193
C=C1CCC2CC1C2(C)C,-4.292313455
CCCCCCCCC=CCCCCCCCC(=O)[O-],-4.809134189
CCCCCCCCCCCCOC(=O)C(C)O,-4.63414462
NO,-0.763033718
C=CC(=O)OCCOc1ccccc1,-2.563625713
O=S(=O)([O-])c1ccc(O)c2ccccc12,-2.641819273
C=CCCCCCCCCC(=O)[O-],-3.552826145
C[N+](C)(CCCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)[O-],-4.057185148
CCC(Cc1ccccc1)(C(=O)c1ccc(N2CCOCC2)cc1)[NH+](C)C,-4.793227892
CC(C)CCCCCCc1ccc(O)cc1,-4.587250025
C=C(C)c1cccc(C(=C)C)c1,-4.451139225
[Mo],-4.203848464
C=COC(=O)CCCCCC(C)(C)C,-4.581332511
Cc1ccc(C(C)(C)C)cc1,-4.472021768
O=C([O-])C1CCCCC1,-1.445031941
O=C1C(=NNc2ccc3c(S(=O)(=O)[O-])cccc3c2S(=O)(=O)[O-])C(S(=O)(=O)[O-])=Cc2cc(S(=O)(=O)[O-])cc(Nc3nc(Cl)nc(Nc4cccc(S(=O)(=O)CCOS(=O)(=O)[O-])c4)n3)c21,-0.410897736
C(=Cc1ccccc1)C=[NH+]CCCCCC[NH+]=CC=Cc1ccccc1,-3.893739071
CC(C)(C)CC(C)(C)c1cc(Cc2cc(C(C)(C)CC(C)(C)C)cc(-n3nc4ccccc4n3)c2O)c(O)c(-n2nc3ccccc3n2)c1,-7.973715535
CCN(CC[N+](C)(C)C)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,-3.038699623
c1ccc2sc(SN3CCOCC3)nc2c1,-3.810962795
CC1(C)C2CC3OC3(C)C1C2,-2.593688492
NC(=O)Nc1cc(Nc2nc(Cl)nc(Nc3cccc(S(=O)(=O)CCOS(=O)(=O)[O-])c3)n2)ccc1N=Nc1cc2c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])cc2cc1S(=O)(=O)[O-],-0.426136485
CCCCCCCCCCCCNc1nc(Cl)nc(Nc2ccc3c(c2)C=C(S(=O)(=O)[O-])C(=NNc2ccc(N=Nc4ccc(S(=O)(=O)[O-])cc4)cc2)C3=O)n1,-3.358911212
CCCN(CCC)C(=O)SCC,-2.703174404
C1CC(COCC2CO2)CCC1COCC1CO1,-1.835797234
Cc1cc(CC(C)CC(C)(C)C)n([O-])c(=O)c1,-3.905464204
O=P([O-])([O-])O,-4.141900896
O=[p+]1oc2ccccc2c2ccccc21,-1.779623135
C=COC(=O)c1ccccc1,-2.622959195
COC(=O)c1ccc(C(C)(C)C)cc1,-3.739816376
Cc1cccc(CC(C)(C)CO)c1,-2.826535469
CC(=O)OCC=C(C)CCC=C(C)C,-3.754953216
CC1(C)C2CC=C(CCO)C1C2,-2.695999804
CC1CC(=O)CC(C)(C)C1,-1.647141463
C=CC(=O)OCCOc1ccccc1-c1ccccc1,-3.951518842
O=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,-5.123168748
Cc1cc(C(C)(C)c2cc(C)c(O)c(C)c2)cc(C)c1O,-4.952868803
CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,-5.47300058
CCOC(=O)CC(C)CC(C)(C)C,-3.823043168
O=[Si]([O-])O,-2.650086994
CCc1ccc(C)nc1,-1.004260454
CC1CCC(C(C)C)C(OC(=O)C(C)O)C1,-2.979987205
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-3.178447129
Cc1ccc(Nc2ccc(Nc3ccc(C)cc3S(=O)(=O)[O-])c3c2C(=O)c2ccccc2C3=O)c(S(=O)(=O)[O-])c1,-1.427031257
O,-4.229152992
C=C(C)C(=O)OCCOc1ccccc1,-2.95264717
